condition,run,epoch,episode,row_id,scan,occ
no_mem,scripted,,0,canon-five_ch_wide-0,1,0.1095
no_mem,scripted,,0,canon-five_ch_wide-0,2,0.3675
no_mem,scripted,,0,canon-five_ch_wide-0,3,0.2580
no_mem,scripted,,0,canon-five_ch_wide-0,4,0.2191
no_mem,scripted,,0,canon-five_ch_wide-0,5,0.3286
no_mem,scripted,,0,canon-five_ch_wide-0,6,0.2580
no_mem,scripted,,0,canon-five_ch_wide-0,7,0.2191
no_mem,scripted,,0,canon-five_ch_wide-0,8,0.1095
no_mem,scripted,,0,canon-five_ch_wide-0,9,0.2580
no_mem,scripted,,0,canon-five_ch_wide-0,10,0.3675
no_mem,scripted,,0,canon-five_ch_wide-0,11,0.3286
no_mem,scripted,,0,canon-five_ch_wide-0,12,0.3286
no_mem,scripted,,0,canon-five_ch_wide-0,13,0.2580
no_mem,scripted,,0,canon-five_ch_wide-0,14,0.3286
no_mem,scripted,,0,canon-five_ch_wide-0,15,0.1873
no_mem,scripted,,0,canon-five_ch_wide-0,16,0.1095
no_mem,scripted,,0,canon-five_ch_wide-0,17,0.2191
no_mem,scripted,,0,canon-five_ch_wide-0,18,0.3286
no_mem,scripted,,0,canon-five_ch_wide-0,19,0.2191
no_mem,scripted,,0,canon-five_ch_wide-0,20,0.2191
no_mem,scripted,,0,canon-five_ch_wide-0,21,0.2191
no_mem,scripted,,0,canon-five_ch_wide-0,22,0.1095
no_mem,scripted,,0,canon-five_ch_wide-0,23,0.2191
no_mem,scripted,,0,canon-five_ch_wide-0,24,0.2191
no_mem,scripted,,0,canon-five_ch_wide-0,25,0.2191
no_mem,scripted,,0,canon-five_ch_wide-0,26,0.2191
no_mem,scripted,,0,canon-five_ch_wide-0,27,0.3675
no_mem,scripted,,0,canon-five_ch_wide-0,28,0.1095
no_mem,scripted,,0,canon-five_ch_wide-0,29,0.2580
no_mem,scripted,,0,canon-five_ch_wide-0,30,0.2580
no_mem,scripted,,1,canon-five_plus_four_mixed-1,1,0.1484
no_mem,scripted,,1,canon-five_plus_four_mixed-1,2,0.1484
no_mem,scripted,,1,canon-five_plus_four_mixed-1,3,0.2580
no_mem,scripted,,1,canon-five_plus_four_mixed-1,4,0.1484
no_mem,scripted,,1,canon-five_plus_four_mixed-1,5,0.2580
no_mem,scripted,,1,canon-five_plus_four_mixed-1,6,0.2580
no_mem,scripted,,1,canon-five_plus_four_mixed-1,7,0.1873
no_mem,scripted,,1,canon-five_plus_four_mixed-1,8,0.1484
no_mem,scripted,,1,canon-five_plus_four_mixed-1,9,0.2191
no_mem,scripted,,1,canon-five_plus_four_mixed-1,10,0.2580
no_mem,scripted,,1,canon-five_plus_four_mixed-1,11,0.3675
no_mem,scripted,,1,canon-five_plus_four_mixed-1,12,0.2261
no_mem,scripted,,1,canon-five_plus_four_mixed-1,13,0.1873
no_mem,scripted,,1,canon-five_plus_four_mixed-1,14,0.3675
no_mem,scripted,,1,canon-five_plus_four_mixed-1,15,0.2191
no_mem,scripted,,1,canon-five_plus_four_mixed-1,16,0.3286
no_mem,scripted,,1,canon-five_plus_four_mixed-1,17,0.3286
no_mem,scripted,,1,canon-five_plus_four_mixed-1,18,0.1873
no_mem,scripted,,1,canon-five_plus_four_mixed-1,19,0.1873
no_mem,scripted,,1,canon-five_plus_four_mixed-1,20,0.3675
no_mem,scripted,,1,canon-five_plus_four_mixed-1,21,0.2580
no_mem,scripted,,1,canon-five_plus_four_mixed-1,22,0.5477
no_mem,scripted,,1,canon-five_plus_four_mixed-1,23,0.2261
no_mem,scripted,,1,canon-five_plus_four_mixed-1,24,0.1484
no_mem,scripted,,1,canon-five_plus_four_mixed-1,25,0.3286
no_mem,scripted,,1,canon-five_plus_four_mixed-1,26,0.3357
no_mem,scripted,,1,canon-five_plus_four_mixed-1,27,0.0777
no_mem,scripted,,1,canon-five_plus_four_mixed-1,28,0.3357
no_mem,scripted,,1,canon-five_plus_four_mixed-1,29,0.1484
no_mem,scripted,,1,canon-five_plus_four_mixed-1,30,0.2580
no_mem,scripted,,2,canon-full_grid_active-2,1,0.4064
no_mem,scripted,,2,canon-full_grid_active-2,2,0.1484
no_mem,scripted,,2,canon-full_grid_active-2,3,0.5477
no_mem,scripted,,2,canon-full_grid_active-2,4,0.2261
no_mem,scripted,,2,canon-full_grid_active-2,5,0.2580
no_mem,scripted,,2,canon-full_grid_active-2,6,0.4064
no_mem,scripted,,2,canon-full_grid_active-2,7,0.3357
no_mem,scripted,,2,canon-full_grid_active-2,8,0.1873
no_mem,scripted,,2,canon-full_grid_active-2,9,0.3675
no_mem,scripted,,2,canon-full_grid_active-2,10,0.1873
no_mem,scripted,,2,canon-full_grid_active-2,11,0.3675
no_mem,scripted,,2,canon-full_grid_active-2,12,0.3675
no_mem,scripted,,2,canon-full_grid_active-2,13,0.1873
no_mem,scripted,,2,canon-full_grid_active-2,14,0.1873
