run,arm,prompt,echo,epoch,mean_occ,memory_gain,score,mean_avail
tnfxdqkv,probe,explicit,real,0,0.4516,0.1103,1.3548,0.4856
tnfxdqkv,probe,explicit,real,1,0.4666,0.1229,1.3999,0.4814
fva3tx6z,A,explicit,real,0,0.4738,0.1193,1.4214,0.4832
fva3tx6z,A,explicit,real,1,0.4735,0.1058,1.4205,0.4995
fva3tx6z,A,explicit,real,2,0.4774,0.1208,1.4323,0.4755
fva3tx6z,A,explicit,real,3,0.4603,0.1242,1.3809,0.4658
fva3tx6z,A,explicit,real,4,0.4636,0.1146,1.3908,0.4716
fva3tx6z,A,explicit,real,5,0.4636,0.1366,1.3908,0.4596
fva3tx6z,A,explicit,real,6,0.4648,0.1059,1.3944,0.4654
fva3tx6z,A,explicit,real,7,0.4799,0.1333,1.4396,0.4781
fva3tx6z,A,explicit,real,8,0.4795,0.1163,1.4386,0.4876
fva3tx6z,A,explicit,real,9,0.4813,0.127,1.4438,0.4772
fva3tx6z,A,explicit,real,10,0.4712,0.1206,1.4135,0.4635
fva3tx6z,A,explicit,real,11,0.4702,0.1086,1.4107,0.4755
geote9qj,B,explicit,scrambled,0,0.352,0.0867,1.0559,0.3858
geote9qj,B,explicit,scrambled,1,0.351,0.0894,1.0531,0.3868
geote9qj,B,explicit,scrambled,2,0.3502,0.0819,1.0505,0.3941
geote9qj,B,explicit,scrambled,3,0.3558,0.0726,1.0675,0.3893
geote9qj,B,explicit,scrambled,4,0.3549,0.0982,1.0648,0.3865
geote9qj,B,explicit,scrambled,5,0.3597,0.0904,1.0791,0.3874
geote9qj,B,explicit,scrambled,6,0.3628,0.0894,1.0885,0.3826
geote9qj,B,explicit,scrambled,7,0.3523,0.0849,1.057,0.3928
geote9qj,B,explicit,scrambled,8,0.3595,0.0907,1.0786,0.3828
geote9qj,B,explicit,scrambled,9,0.3575,0.0874,1.0724,0.3875
geote9qj,B,explicit,scrambled,10,0.3585,0.0878,1.0756,0.3852
geote9qj,B,explicit,scrambled,11,0.3581,0.0832,1.0743,0.3845
dtbn6lhm,C,weak,real,0,0.4028,0.0759,1.2083,0.4773
dtbn6lhm,C,weak,real,1,0.3838,0.0543,1.1515,0.4755
dtbn6lhm,C,weak,real,2,0.4047,0.0896,1.2141,0.4823
dtbn6lhm,C,weak,real,3,0.3947,0.0699,1.1842,0.4728
dtbn6lhm,C,weak,real,4,0.4143,0.0926,1.2428,0.4726
dtbn6lhm,C,weak,real,5,0.4195,0.0933,1.2584,0.4832
dtbn6lhm,C,weak,real,6,0.4212,0.1056,1.2636,0.4804
dtbn6lhm,C,weak,real,7,0.4356,0.0806,1.3068,0.4719
dtbn6lhm,C,weak,real,8,0.4108,0.1022,1.2324,0.4818
dtbn6lhm,C,weak,real,9,0.4155,0.0828,1.2466,0.4771
dtbn6lhm,C,weak,real,10,0.4324,0.1105,1.2971,0.475
dtbn6lhm,C,weak,real,11,0.4389,0.0946,1.3166,0.4839
c4jk2e4z,C',weak,real,0,0.4101,0.0805,1.2304,0.4904
c4jk2e4z,C',weak,real,1,0.4017,0.087,1.205,0.4891
c4jk2e4z,C',weak,real,2,0.405,0.0859,1.2149,0.4843
c4jk2e4z,C',weak,real,3,0.3891,0.0855,1.1672,0.4648
c4jk2e4z,C',weak,real,4,0.3966,0.0679,1.1897,0.4871
c4jk2e4z,C',weak,real,5,0.4059,0.089,1.2176,0.477
c4jk2e4z,C',weak,real,6,0.406,0.0871,1.218,0.4682
c4jk2e4z,C',weak,real,7,0.3911,0.0518,1.1733,0.4724
c4jk2e4z,C',weak,real,8,0.4195,0.0786,1.2586,0.4787
c4jk2e4z,C',weak,real,9,0.4243,0.0771,1.273,0.4763
c4jk2e4z,C',weak,real,10,0.4137,0.0809,1.2411,0.4721
c4jk2e4z,C',weak,real,11,0.4251,0.0944,1.2754,0.487
